target_id	length	eff_length	est_counts	tpm
ACTB	72	73	43044	148253
ALS2	69	70	516	1853.38
ANXA11	65	66	34	129.523
ATP13A2	74	75	2579	8645.75
ATP6V0A1	54	55	8320	38034.1
C1orf43	66	67	4189	15719.8
C9orf72	56	57	2226	9818.91
CALCOCO2	54	55	147	671.997
CHMP2B	60	61	964	3973.38
CLN5	74	75	671	2249.44
CRLS1	61	62	1360	5515.18
CTSB	74	75	2121	7110.37
CTSD	75	76	282	932.928
CTSL	58	59	814	3468.85
DCTN1	76	77	8878	28989.3
FUS	83	84	13616	40755.2
FYN	59	60	5595	23445.6
GALC	55	56	1556	6986.09
GBA	66	67	1632	6124.32
GCH1	56	57	378	1667.36
GRN	65	66	1492	5683.79
GSTO1	56	57	367	1618.84
GUSB	59	60	440	1843.8
HMBS	62	63	427	1704.12
HMOX1	66	67	36	135.095
HNRNPA2B1	50	51	28176	138906
KIF5A	62	63	16221	64736.6
LRRK2	53	54	198	921.901
MAPT	69	70	4544	16321.2
MCCC1	57	58	861	3732.4
NAGLU	70	71	105	371.829
NBR1	61	62	2441	9898.94
NEU1	70	71	1300	4603.6
NQO1	84	85	25	73.9493
OPTN	64	65	1522	5887.27
OXR1	72	73	3210	11055.9
PARK2	55	56	177	794.69
PARK7	62	63	7460	29772.2
PFN1	77	78	4644	14969.6
PINK1	67	68	862	3187.21
PSAP	71	72	8508	29710.3
PSMB4	64	65	2376	9190.64
SCARB2	63	64	10556	41469.8
SETX	60	61	1652	6809.15
SNCA	58	59	10362	44157.5
SOD1	62	63	4574	18254.4
SQSTM1	66	67	2594	9734.37
STX17	57	58	730	3164.52
TARDBP	60	61	7727	31848.9
TAX1BP1	63	64	3083	12111.7
TBK1	59	60	629	2635.8
TMEM106B	54	55	1428	6527.97
TMEM175	70	71	2778	9837.54
VAPB	64	65	3173	12273.5
VCP	70	71	7975	28241.3
VPS13C	54	55	2779	12703.9
VPS35	68	69	5289	19272.5
CLN8	63	64	258	1013.57
CHCHD10	72	73	1325	4563.58
CHCHD2	65	66	0	0
GAPDH	81	82	8452	25915.4
