target_id	length	eff_length	est_counts	tpm
ACTB	72	307.852	67708	49469.5
ALS2	69	70	466	1497.36
ANXA11	65	66	25	85.1992
ATP13A2	74	75	4926	14773.1
ATP6V0A1	54	55	7396	30246.4
C1orf43	66	67	6063	20354.1
C9orf72	56	57	1566	6179.54
CALCOCO2	54	55	146	597.076
CHMP2B	60	61	1089	4015.48
CLN5	74	75	488	1463.52
CRLS1	61	62	1349	4893.95
CTSB	74	75	4238	12709.8
CTSD	75	76	593	1755.01
CTSL	58	59	740	2821.1
DCTN1	76	77	12024	35123.5
FUS	83	84	19337	51778.5
FYN	59	60	5203	19504.8
GALC	55	56	1257	5048.78
GBA	66	67	1296	4350.81
GCH1	56	57	424	1673.13
GRN	65	66	21	71.5673
GSTO1	56	57	364	1436.37
GUSB	59	60	386	1447.02
HMBS	62	63	437	1560.2
HMOX1	66	67	55	184.641
HNRNPA2B1	50	51	19724	86989
KIF5A	62	63	16151	57663.2
LRRK2	53	54	97	404.034
MAPT	69	70	15456	49663.6
MCCC1	57	307.852	608	444.223
NAGLU	70	71	142	449.852
NBR1	61	62	2103	7629.34
NEU1	70	71	1440	4561.88
NQO1	84	85	40	105.847
OPTN	64	65	1828	6325.61
OXR1	72	73	2634	8115.82
PARK2	55	56	105	421.736
PARK7	62	63	9385	33506.8
PFN1	77	78	10282	29649.9
PINK1	67	68	1746	5775.3
PSAP	71	72	19103	59677.2
PSMB4	64	65	2974	10291.2
SCARB2	63	64	9689	34051.7
SETX	60	61	1005	3705.75
SNCA	58	307.852	7850	5735.44
SOD1	62	63	4914	17544.2
SQSTM1	66	67	2948	9896.74
STX17	57	58	516	2001.07
TARDBP	60	61	6677	24620.2
TAX1BP1	63	64	2553	8972.44
TBK1	59	60	418	1566.98
TMEM106B	54	55	1050	4294.04
TMEM175	70	71	2199	6966.37
VAPB	64	65	3430	11869.2
VCP	70	71	8644	27383.9
VPS13C	54	55	1321	5402.31
VPS35	68	69	6034	19669.6
CLN8	63	64	210	738.038
CHCHD10	72	73	1618	4985.34
CHCHD2	65	66	9	30.6717
GAPDH	81	82	64109	175851
