target_id	length	eff_length	est_counts	tpm
ACTB	72	73	30925	143998
ALS2	69	70	464	2253.15
ANXA11	65	66	35	180.258
ATP13A2	74	75	1718	7786.33
ATP6V0A1	54	55	6022	37217.6
C1orf43	66	67	3311	16797.9
C9orf72	56	57	1775	10585.1
CALCOCO2	54	55	125	772.535
CHMP2B	60	61	706	3934.1
CLN5	74	75	502	2275.17
CRLS1	61	62	1051	5762.11
CTSB	74	75	1511	6848.16
CTSD	75	76	195	872.151
CTSL	58	59	696	4009.85
DCTN1	76	77	6210	27413.9
FUS	83	84	7933	32101.8
FYN	59	60	4375	24785.5
GALC	55	56	1285	7799.84
GBA	66	67	1287	6529.42
GCH1	56	57	325	1938.11
GRN	65	66	1065	5485
GSTO1	56	57	263	1568.38
GUSB	59	60	412	2334.09
HMBS	62	63	373	2012.51
HMOX1	66	67	25	126.834
HNRNPA2B1	50	51	22293	148583
KIF5A	62	63	12194	65792.5
LRRK2	53	54	137	862.378
MAPT	69	70	2909	14125.9
MCCC1	57	58	737	4319.27
NAGLU	70	71	81	387.791
NBR1	61	62	1945	10663.5
NEU1	70	71	892	4270.49
NQO1	84	85	33	131.967
OPTN	64	65	1200	6275.36
OXR1	72	73	2415	11245.1
PARK2	55	56	2	12.1398
PARK7	62	63	5528	29826.2
PFN1	77	78	3121	13601
PINK1	67	68	601	3004.25
PSAP	71	72	5819	27471.8
PSMB4	64	65	1799	9407.81
SCARB2	63	64	7707	40933.2
SETX	60	61	1486	8280.56
SNCA	58	59	7667	44171.7
SOD1	62	63	3716	20049.6
SQSTM1	66	67	2160	10958.5
STX17	57	58	571	3346.41
TARDBP	60	61	6016	33523.5
TAX1BP1	63	64	2275	12082.9
TBK1	59	60	473	2679.67
TMEM106B	54	55	1372	8479.34
TMEM175	70	71	2337	11188.5
VAPB	64	65	2341	12242.2
VCP	70	71	6656	31865.9
VPS13C	54	55	2394	14795.6
VPS35	68	69	4219	20784.1
CLN8	63	64	221	1173.77
CHCHD10	72	73	960	4470.12
CHCHD2	65	66	1	5.15023
GAPDH	81	82	3281	13600.8
