target_id	length	eff_length	est_counts	tpm
ACTB	72	216.278	96030	73036.3
ALS2	69	70	546	1283.04
ANXA11	65	66	48	119.631
ATP13A2	74	75	6847	15017
ATP6V0A1	54	55	10027	29988.4
C1orf43	66	69.4758	6395	15140.9
C9orf72	56	57	2021	5832.25
CALCOCO2	54	55	191	571.236
CHMP2B	60	61	1153	3109.17
CLN5	74	69.4758	675	1598.14
CRLS1	61	62	1440	3820.46
CTSB	74	75	5488	12036.4
CTSD	75	138.952	1049	1241.81
CTSL	58	59	805	2244.34
DCTN1	76	77	14576	31138.1
FUS	83	84	20541	40224.2
FYN	59	60	6430	17628.1
GALC	55	56	1441	4232.73
GBA	66	67	1665	4087.75
GCH1	56	57	451	1301.51
GRN	65	66	1647	4104.82
GSTO1	56	57	307	885.948
GUSB	59	60	396	1085.65
HMBS	62	63	383	1000.01
HMOX1	66	67	53	130.121
HNRNPA2B1	50	51	25659	82758.8
KIF5A	62	63	20781	54258.8
LRRK2	53	54	182	554.399
MAPT	69	70	18814	44210.7
MCCC1	57	216.278	708	538.475
NAGLU	70	71	193	447.14
NBR1	61	62	2305	6115.39
NEU1	70	71	1773	4107.67
NQO1	84	85	63	121.918
OPTN	64	65	2340	5921.71
OXR1	72	73	3356	7562.12
PARK2	55	56	133	390.668
PARK7	62	63	8855	23120.3
PFN1	77	78	13729	28952.7
PINK1	67	68	2136	5166.98
PSAP	71	72	25199	57569.9
PSMB4	64	65	3653	9244.45
SCARB2	63	64	11471	29482.6
SETX	60	61	1160	3128.04
SNCA	58	216.278	10321	7849.71
SOD1	62	63	4957	12942.6
SQSTM1	66	67	3589	8811.37
STX17	57	58	563	1596.71
TARDBP	60	61	7370	19873.9
TAX1BP1	63	64	3159	8119.22
TBK1	59	60	644	1765.55
TMEM106B	54	55	1155	3454.33
TMEM175	70	71	2382	5518.59
VAPB	64	65	4086	10340.2
VCP	70	69.4758	10562	25006.8
VPS13C	54	55	2027	6062.28
VPS35	68	69	867	2066.88
CLN8	63	69.4758	260	615.58
CHCHD10	72	73	1797	4049.21
CHCHD2	65	66	4	9.96921
GAPDH	81	69.4758	104496	247406
