target_id	length	eff_length	est_counts	tpm
ACTB	72	73	18755	124849
ALS2	69	70	226	1568.92
ANXA11	65	66	41	301.878
ATP13A2	74	75	918	5948.02
ATP6V0A1	54	55	4841	42772.4
C1orf43	66	67	2278	16522.3
C9orf72	56	57	1287	10972.2
CALCOCO2	54	55	59	521.291
CHMP2B	60	61	616	4907.29
CLN5	74	75	284	1840.13
CRLS1	61	62	959	7516.54
CTSB	74	75	989	6408.06
CTSD	75	76	72	460.373
CTSL	58	59	426	3508.72
DCTN1	76	77	3276	20674.9
FUS	83	84	5210	30140.4
FYN	59	60	3730	30209.9
GALC	55	56	1159	10057.4
GBA	66	67	930	6745.27
GCH1	56	57	217	1850.02
GRN	65	66	769	5662.05
GSTO1	56	57	193	1645.41
GUSB	59	60	322	2607.93
HMBS	62	63	240	1851.24
HMOX1	66	67	15	108.795
HNRNPA2B1	50	51	17343	165251
KIF5A	62	63	8968	69174.5
LRRK2	53	54	132	1187.88
MAPT	69	70	1314	9121.97
MCCC1	57	58	501	4197.6
NAGLU	70	71	41	280.619
NBR1	61	62	1729	13551.7
NEU1	70	71	710	4859.5
NQO1	84	85	12	68.6046
OPTN	64	65	783	5853.82
OXR1	72	73	1694	11276.7
PARK2	55	56	122	1058.68
PARK7	62	63	2334	18003.3
PFN1	77	78	1036	6454.41
PINK1	67	68	336	2401.16
PSAP	71	72	3198	21584.3
PSMB4	64	65	1204	9001.28
SCARB2	63	64	6909	52459.8
SETX	60	61	1095	8723.19
SNCA	58	59	5664	46651.2
SOD1	62	63	3193	24629.2
SQSTM1	66	67	1762	12779.7
STX17	57	58	391	3275.97
TARDBP	60	61	5407	43074.3
TAX1BP1	63	64	1657	12581.5
TBK1	59	60	441	3571.73
TMEM106B	54	55	1063	9392.08
TMEM175	70	71	1491	10204.9
VAPB	64	65	2000	14952.3
VCP	70	71	4562	31224
VPS13C	54	55	1695	14976.1
VPS35	68	69	2957	20825.4
CLN8	63	64	161	1222.47
CHCHD10	72	73	575	3827.69
CHCHD2	65	66	1	7.36287
GAPDH	81	82	446	2643.09
