target_id	length	eff_length	est_counts	tpm
ACTB	72	73	19134	125522
ALS2	69	70	278	1901.89
ANXA11	65	66	47	341.03
ATP13A2	74	75	938	5989.36
ATP6V0A1	54	55	4619	40218.3
C1orf43	66	67	2280	16296.7
C9orf72	56	57	1317	11065
CALCOCO2	54	55	82	713.986
CHMP2B	60	61	657	5157.91
CLN5	74	75	358	2285.92
CRLS1	61	62	879	6789.47
CTSB	74	75	1079	6889.68
CTSD	75	76	110	693.135
CTSL	58	59	487	3952.9
DCTN1	76	77	3883	24149.9
FUS	83	84	5509	31407.4
FYN	59	60	3768	30074.5
GALC	55	56	1156	9885.72
GBA	66	67	846	6046.92
GCH1	56	57	227	1907.17
GRN	65	66	807	5855.56
GSTO1	56	57	245	2058.4
GUSB	59	60	294	2346.58
HMBS	62	63	181	1375.87
HMOX1	66	67	7	50.0336
HNRNPA2B1	50	51	16228	152382
KIF5A	62	63	8761	66596.6
LRRK2	53	54	105	931.181
MAPT	69	70	1214	8305.38
MCCC1	57	58	429	3542.16
NAGLU	70	71	31	209.094
NBR1	61	62	1641	12675.2
NEU1	70	71	689	4647.29
NQO1	84	85	15	84.5106
OPTN	64	65	756	5569.9
OXR1	72	73	1975	12956.4
PARK2	55	56	120	1026.2
PARK7	62	63	4537	34487.9
PFN1	77	78	1051	6452.78
PINK1	67	68	379	2669.13
PSAP	71	72	2948	19608
PSMB4	64	65	1229	9054.76
SCARB2	63	64	7440	55671.3
SETX	60	61	1067	8376.7
SNCA	58	59	5445	44196.2
SOD1	62	63	3390	25769
SQSTM1	66	67	1701	12158.2
STX17	57	58	408	3368.77
TARDBP	60	61	5685	44631.3
TAX1BP1	63	64	1787	13371.6
TBK1	59	60	418	3336.29
TMEM106B	54	55	1083	9429.84
TMEM175	70	71	1268	8552.63
VAPB	64	65	1732	12760.7
VCP	70	71	4697	31681.1
VPS13C	54	55	1514	13182.6
VPS35	68	69	2878	19974.7
CLN8	63	64	183	1369.34
CHCHD10	72	73	599	3929.55
CHCHD2	65	66	1	7.25596
GAPDH	81	82	695	4058.91
