target_id	length	eff_length	est_counts	tpm
ACTB	72	340.915	62784	39410.4
ALS2	69	70	438	1339.01
ANXA11	65	66	33	106.999
ATP13A2	74	75	6124	17473.6
ATP6V0A1	54	55	44	171.198
C1orf43	66	67	4956	15829.4
C9orf72	56	57	1992	7478.64
CALCOCO2	54	55	187	727.591
CHMP2B	60	61	1094	3837.92
CLN5	74	75	645	1840.38
CRLS1	61	62	1449	5001.32
CTSB	74	75	4325	12340.5
CTSD	75	76	948	2669.34
CTSL	58	59	818	2966.95
DCTN1	76	77	12367	34370.2
FUS	83	84	16268	41444.2
FYN	59	60	5164	18418
GALC	55	56	1278	4883.73
GBA	66	67	1441	4602.54
GCH1	56	57	516	1937.24
GRN	65	66	1443	4678.76
GSTO1	56	57	322	1208.9
GUSB	59	60	355	1266.15
HMBS	62	63	412	1399.47
HMOX1	66	67	46	146.924
HNRNPA2B1	50	51	20190	84717.8
KIF5A	62	63	15761	53536.7
LRRK2	53	54	135	534.993
MAPT	69	70	14305	43731.9
MCCC1	57	340.915	561	352.148
NAGLU	70	71	172	518.416
NBR1	61	62	1853	6395.76
NEU1	70	71	1912	5762.86
NQO1	84	85	42	105.74
OPTN	64	65	2278	7499.78
OXR1	72	73	3513	10298.3
PARK2	55	56	105	401.245
PARK7	62	63	6588	22378
PFN1	77	78	13351	36629.2
PINK1	67	68	2038	6413.63
PSAP	71	72	19303	57372.1
PSMB4	64	65	2649	8721.21
SCARB2	63	64	9634	32213.3
SETX	60	61	1084	3802.84
SNCA	58	340.915	9165	5753
SOD1	62	63	4437	15071.5
SQSTM1	66	67	2959	9451.02
STX17	57	58	537	1981.32
TARDBP	60	61	6296	22087.3
TAX1BP1	63	64	2484	8305.77
TBK1	59	60	652	2325.44
TMEM106B	54	55	999	3886.97
TMEM175	70	71	2317	6983.55
VAPB	64	65	2894	9527.82
VCP	70	71	8974	27048.1
VPS13C	54	55	2064	8030.74
VPS35	68	69	5413	16787.9
CLN8	63	64	347	1160.27
CHCHD10	72	73	1491	4370.82
CHCHD2	65	66	8	25.9391
GAPDH	81	82	95898	250267
