target_id	length	eff_length	est_counts	tpm
ACTB	72	73	15701	135505
ALS2	69	70	212	1908.05
ANXA11	65	66	17	162.277
ATP13A2	74	75	841	7064.57
ATP6V0A1	54	55	3559	40767.7
C1orf43	66	67	1584	14894.7
C9orf72	56	57	970	10721.3
CALCOCO2	54	55	53	607.106
CHMP2B	60	61	357	3687.14
CLN5	74	75	197	1654.84
CRLS1	61	62	593	6025.79
CTSB	74	75	705	5922.14
CTSD	75	76	92	762.65
CTSL	58	59	392	4185.86
DCTN1	76	77	2915	23850.6
FUS	83	84	4727	35453.4
FYN	59	60	2285	23993.1
GALC	55	56	662	7447.68
GBA	66	67	660	6206.12
GCH1	56	57	163	1801.62
GRN	65	66	523	4992.39
GSTO1	56	57	161	1779.52
GUSB	59	60	207	2173.55
HMBS	62	63	187	1870.05
HMOX1	66	67	20	188.064
HNRNPA2B1	50	51	11366	140407
KIF5A	62	63	6541	65411.6
LRRK2	53	54	89	1038.36
MAPT	69	70	1183	10647.3
MCCC1	57	58	352	3823.54
NAGLU	70	71	31	275.077
NBR1	61	62	1251	12712.1
NEU1	70	71	510	4525.46
NQO1	84	85	13	96.3553
OPTN	64	65	647	6271.07
OXR1	72	73	1475	12729.8
PARK2	55	56	106	1192.53
PARK7	62	63	3113	31130.8
PFN1	77	78	1352	10920.3
PINK1	67	68	28	259.418
PSAP	71	72	2536	22190.5
PSMB4	64	65	891	8636.05
SCARB2	63	64	4430	43608.9
SETX	60	61	912	9419.24
SNCA	58	59	4365	46610.4
SOD1	62	63	1926	19260.5
SQSTM1	66	67	1250	11754
STX17	57	58	303	3291.29
TARDBP	60	61	3764	38875
TAX1BP1	63	64	1162	11438.7
TBK1	59	60	288	3024.07
TMEM106B	54	55	698	7995.47
TMEM175	70	71	1146	10169
VAPB	64	65	1311	12706.9
VCP	70	71	3414	30294
VPS13C	54	55	1231	14100.9
VPS35	68	69	1887	17229.5
CLN8	63	64	120	1181.28
CHCHD10	72	73	495	4272.02
CHCHD2	65	66	1	9.54569
GAPDH	135	28.0262	1729	38867
