target_id	length	eff_length	est_counts	tpm
ACTB	72	73	73711	114468
ALS2	69	70	562	910.15
ANXA11	65	66	29	49.8114
ATP13A2	74	75	1464	2212.86
ATP6V0A1	54	55	10210	21044.5
C1orf43	66	67	5964	10091.1
C9orf72	56	57	2387	4747.36
CALCOCO2	54	55	177	364.826
CHMP2B	60	61	1227	2280.29
CLN5	74	75	692	1045.97
CRLS1	61	62	1811	3311.32
CTSB	74	75	5645	8532.52
CTSD	75	76	810	1208.22
CTSL	58	59	950	1825.35
DCTN1	76	77	14079	20727.9
FUS	83	84	22441	30285.7
FYN	59	60	5952	11245.7
GALC	55	56	1583	3204.55
GBA	66	67	1602	2710.58
GCH1	56	772.6	428	62.8006
GRN	65	66	1479	2540.38
GSTO1	56	57	347	690.128
GUSB	59	60	437	825.667
HMBS	62	63	568	1022.07
HMOX1	66	67	67	113.364
HNRNPA2B1	50	51	29401	65353.2
KIF5A	62	772.6	20434	2998.29
LRRK2	53	54	165	346.39
MAPT	69	70	18000	29150.7
MCCC1	57	58	762	1489.37
NAGLU	70	71	143	228.325
NBR1	61	62	2149	3929.34
NEU1	70	71	1565	2498.8
NQO1	84	85	32	42.6782
OPTN	64	65	1927	3360.8
OXR1	72	73	3909	6070.4
PARK2	55	56	148	299.605
PARK7	62	63	9141	16448.6
PFN1	77	78	12883	18723.9
PINK1	67	68	1971	3285.89
PSAP	71	72	21250	33458.1
PSMB4	64	65	3068	5350.78
SCARB2	63	772.6	12802	1878.44
SETX	60	61	1280	2378.78
SNCA	58	59	8559	16445.5
SOD1	62	63	5291	9520.77
SQSTM1	66	67	3057	5172.44
STX17	57	58	692	1352.55
TARDBP	60	61	8578	15941.6
TAX1BP1	63	64	3423	6063.2
TBK1	59	60	729	1377.37
TMEM106B	54	55	1211	2496.07
TMEM175	70	71	3353	5353.65
VAPB	64	65	3795	6618.71
VCP	70	71	9298	14845.9
VPS13C	54	55	2325	4792.2
VPS35	68	69	5877	9655.65
CLN8	63	64	322	570.362
CHCHD10	72	73	1705	2647.75
CHCHD2	65	66	2	3.43527
GAPDH	135	27.5661	110477	454329
