target_id	length	eff_length	est_counts	tpm
ACTB	72	69.6128	472737	309823
ALS2	69	70	849	553.341
ANXA11	65	66	67	46.3142
ATP13A2	74	297.782	7314	1120.57
ATP6V0A1	54	55	16776	13915.8
C1orf43	66	67	10781	7341.21
C9orf72	56	57	3677	2943.08
CALCOCO2	54	55	230	190.787
CHMP2B	60	61	1959	1465.17
CLN5	74	75	926	563.291
CRLS1	61	62	2535	1865.39
CTSB	74	75	6731	4094.51
CTSD	75	76	994	596.7
CTSL	58	59	1286	994.425
DCTN1	76	77	22775	13494.3
FUS	83	745.031	47467	2906.7
FYN	59	60	12454	9469.8
GALC	55	56	2746	2237.15
GBA	66	67	2778	1891.65
GCH1	56	57	755	604.304
GRN	65	66	2315	1600.26
GSTO1	56	57	636	509.056
GUSB	59	60	760	577.891
HMBS	62	63	772	559.062
HMOX1	66	67	65	44.2611
HNRNPA2B1	50	51	79899	71475
KIF5A	62	63	45249	32768.1
LRRK2	53	54	270	228.115
MAPT	69	297.782	26161	4008.1
MCCC1	57	45.5803	1229	1230.15
NAGLU	70	297.782	202	30.9482
NBR1	61	62	4246	3124.44
NEU1	70	71	2630	1689.98
NQO1	84	85	60	32.2044
OPTN	64	297.782	3155	483.374
OXR1	72	73	5573	3482.97
PARK2	55	56	252	205.303
PARK7	62	63	16521	11964.1
PFN1	77	78	17459	10211.9
PINK1	67	68	2505	1680.67
PSAP	71	72	37225	23587.7
PSMB4	64	65	5224	3666.68
SCARB2	63	64	24284	17311.1
SETX	60	61	2560	1914.67
SNCA	58	45.5803	19577	19595.3
SOD1	62	63	9954	7208.42
SQSTM1	66	67	5784	3938.55
STX17	57	58	1075	845.598
TARDBP	60	61	15802	11818.6
TAX1BP1	63	64	5563	3965.63
TBK1	59	60	1018	774.069
TMEM106B	54	55	2229	1848.97
TMEM175	70	745.031	4373	267.786
VAPB	64	65	6616	4643.71
VCP	70	71	18179	11681.4
VPS13C	54	55	4066	3372.78
VPS35	68	69	10957	7244.79
CLN8	63	64	461	328.628
CHCHD10	72	73	2590	1618.68
CHCHD2	65	66	5	3.45628
GAPDH	135	28.9447	223536	352340
