target_id	length	eff_length	est_counts	tpm
ACTB	72	217.898	120174	55551.1
ALS2	69	70	763	1097.9
ANXA11	65	66	36	54.9407
ATP13A2	74	75	8611	11564.5
ATP6V0A1	54	55	13069	23934
C1orf43	66	67	10164	15280.1
C9orf72	56	57	2565	4532.61
CALCOCO2	54	55	190	347.958
CHMP2B	60	61	1505	2485.09
CLN5	74	75	711	954.869
CRLS1	61	62	1976	3210.19
CTSB	74	75	7311	9818.63
CTSD	75	76	1337	1771.96
CTSL	58	59	903	1541.6
DCTN1	76	77	17418	22784.7
FUS	83	84	30420	36476.7
FYN	59	60	8730	14655.4
GALC	55	56	1642	2953.39
GBA	66	67	2240	3367.51
GCH1	56	57	592	1046.12
GRN	65	66	2508	3827.53
GSTO1	56	57	402	710.373
GUSB	59	60	474	795.724
HMBS	62	63	725	1159.13
HMOX1	66	60.1198	66	110.576
HNRNPA2B1	50	144.741	35014	24366
KIF5A	62	60.1198	26896	45061.5
LRRK2	53	54	184	343.21
MAPT	69	70	31851	45831.1
MCCC1	57	116.639	879	759.066
NAGLU	70	144.741	288	200.417
NBR1	61	62	3027	4917.63
NEU1	70	60.1198	2314	3876.87
NQO1	84	85	62	73.4697
OPTN	64	65	3097	4799.14
OXR1	72	73	3138	4329.78
PARK2	55	56	111	199.65
PARK7	62	63	13756	21993.1
PFN1	77	78	16401	21179.3
PINK1	67	144.741	3289	2288.8
PSAP	71	72	37995	53153.2
PSMB4	64	60.1198	4739	7939.71
SCARB2	63	64	14972	23563.3
SETX	60	61	1539	2541.23
SNCA	58	116.639	14405	12439.5
SOD1	62	63	7351	11752.8
SQSTM1	66	67	4573	6874.83
STX17	57	58	848	1472.66
TARDBP	60	61	9635	15909.5
TAX1BP1	63	64	3952	6219.74
TBK1	59	60	627	1052.57
TMEM106B	54	55	1396	2556.57
TMEM175	70	71	2753	3905.56
VAPB	64	65	5422	8401.98
VCP	70	120.24	13868	11617.2
VPS13C	54	55	2183	3997.85
VPS35	68	69	9720	14189
CLN8	63	64	306	481.589
CHCHD10	72	144.741	2103	1463.47
CHCHD2	65	180.359	4	2.23386
GAPDH	135	27.9105	113669	410214
